month,bridgeId,bridgeName,depositUSD,withdrawUSD,totalUSD,netUSD
2024-12,12,Stargate,1672679946.759819,1655293952.551461,3327973899.3112803,17385994.20835812
2025-01,12,Stargate,1216990311.6046107,1209297224.5641766,2426287536.168787,7693087.040434092
2025-02,12,Stargate,2410811738.32782,1611901242.793071,4022712981.120891,798910495.5347489
2025-03,12,Stargate,2079178597.593323,2028153928.27116,4107332525.864483,51024669.32216311
2025-04,12,Stargate,2129584513.038985,2779899447.978698,4909483961.017683,-650314934.9397125
2025-05,12,Stargate,2129815877.0605147,2456909180.1372595,4586725057.197774,-327093303.0767447
2025-06,12,Stargate,1320667725.1539197,1373242550.2584522,2693910275.412372,-52574825.10453245
2025-07,12,Stargate,1391120546.5890908,1481040289.105899,2872160835.6949897,-89919742.51680821
2025-08,12,Stargate,693749230.153964,647958527.0895265,1341707757.2434907,45790703.06443745
2025-09,12,Stargate,1322748515.430493,837334095.4497073,2160082610.8802004,485414419.98078585
2022-10,13,Hop,21630111.29366347,22513811.61721658,44143922.910880044,-883700.3235531091
2022-11,13,Hop,122277430.44326308,123401760.51734687,245679190.96060997,-1124330.0740837897
2022-12,13,Hop,90047554.96284473,88438116.1971896,178485671.16003433,1609438.7656551194
2023-01,13,Hop,60737620.2337014,57959619.30988031,118697239.54358171,2778000.9238210963
2023-02,13,Hop,134377982.20944995,129171629.3094043,263549611.51885426,5206352.900045645
2023-03,13,Hop,235425603.62131715,228385784.96228427,463811388.5836014,7039818.659032861
2023-04,13,Hop,180119561.92182243,172311459.33006606,352431021.2518885,7808102.591756373
2023-05,13,Hop,132642687.85126853,127208293.48350655,259850981.33477506,5434394.367761979
2023-06,13,Hop,82372664.23672745,79717078.99079154,162089743.22751898,2655585.2459358927
2023-07,13,Hop,80413857.52510592,77032057.34010555,157445914.8652115,3381800.1850003786
2023-08,13,Hop,94457341.14835145,91621425.35756949,186078766.50592095,2835915.7907819697
2023-09,13,Hop,54385324.712856546,54342212.86922945,108727537.582086,43111.84362709592
2023-10,13,Hop,53666785.01126436,50939666.52667576,104606451.53794011,2727118.4845886026
2023-11,13,Hop,82052092.10902089,78349451.3880387,160401543.49705958,3702640.7209821865
2023-12,13,Hop,119365105.24345315,117429764.18965362,236794869.43310675,1935341.0537995193
2024-01,13,Hop,88301217.59717184,85877287.53241497,174178505.12958682,2423930.0647568703
2024-02,13,Hop,139614449.36396873,138646965.41405863,278261414.77802736,967483.9499101171
2024-03,13,Hop,213428225.86233294,206921655.99789304,420349881.86022604,6506569.864439903
2024-04,13,Hop,215850879.684921,214678386.8271803,430529266.5121013,1172492.8577406812
2024-05,13,Hop,142072265.48297694,142057878.3768295,284130143.8598064,14387.106147442013
2024-06,13,Hop,129183221.93478566,128561134.98348874,257744356.9182744,622086.9512969232
2024-07,13,Hop,92131036.65470302,91638048.95466581,183769085.6093688,492987.7000372121
2024-08,13,Hop,57615845.948315606,57344615.655842,114960461.6041576,271230.2924736063
2024-09,13,Hop,45043102.13244834,44557480.895658776,89600583.02810712,485621.23678956425
2024-10,13,Hop,59688405.10704309,59727182.728337325,119415587.8353804,-38777.621294241166
2024-11,13,Hop,48210762.23171293,48004778.02709711,96215540.25881004,205984.20461581706
2024-12,13,Hop,62807031.765137844,62835982.39636857,125643014.16150641,-28950.631230728584
2025-01,13,Hop,27464899.468925428,27608762.916715406,55073662.38564083,-143863.44778998144
2025-02,13,Hop,10088284.562141247,10074639.99455876,20162924.556700006,13644.567582486095
2025-03,13,Hop,6562005.37963719,6385149.711344485,12947155.090981675,176855.66829270514
2025-04,13,Hop,9164537.845445495,8965927.200628696,18130465.046074193,198610.64481679973
2025-05,13,Hop,13077046.51033086,11843923.640493171,24920970.15082403,1233122.8698376878
2025-06,13,Hop,1037044.7073007312,992381.269778193,2029425.9770789242,44663.437522538195
2025-07,13,Hop,462381.17136234656,362995.25919406157,825376.4305564081,99385.91216828495
2025-08,13,Hop,453657.91621861636,206275.06975348212,659932.9859720984,247382.8464651342
2025-09,13,Hop,112229.35297906323,115629.35931803193,227858.71229709516,-3400.006338968693
2024-06,15,Core Bitcoin Bridge,6067.62562894,162357.75647356,168425.3821025,-156290.13084462
