month;bridgeId;bridgeName;totalUSD;SA_Tier
2024-03;28;Meson;399050463,1;SA11
2024-03;32;Squid (Powered by Axelar);360331807,2;SA21
2024-03;16;Gnosis Bridge;315843448,3;SA22
2024-03;59;Connext;207566297,1;SA33
2024-03;46;yBridge by xSync Network;163639376,8;SA22
2024-03;37;Manta Pacific Bridge;137688414,6;SA33
2024-03;3;Avalanche Bridge;104001610,5;SA12
2024-03;35;CrossCurve;102325463,5;SA22
2024-03;27;Symbiosis;100795419,2;SA11
2024-03;50;Mode Network;89541198,69;SA33
2024-03;30;Mantle Bridge;77308247,01;SA33
2024-03;44;Interport Finance;76123378,76;SA11
2024-03;42;pNetwork;49487067,8;SA22
2024-03;60;Allbridge Core;35298874,22;SA22
2024-03;45;Shimmer Bridge;23400200,62;SA22
2024-03;18;Rainbow Bridge;17761580,54;SA31
2024-03;55;Fuse Bridge;17676392,36;SA22
2024-03;23;Polygon zkEVM Bridge;13259560,1;SA32
2024-03;41;Wan Bridge;7014738,15;SA22
2024-03;48;Rootstock Powpeg Bridge;5036758,675;SA22
2024-03;34;Satellite (Powered by Axelar);4356273,692;SA21
2024-04;12;Stargate;3345869630;SA22
2024-04;51;Circle CCTP;2354151843;SA11
2024-04;58;Orbiter Finance;2179296927;SA11
2024-04;19;Across;1721822540;SA33
2024-04;59;Connext;1284295933;SA33
2024-04;20;deBridge;1078986673;SA22
2024-04;26;ZKsync Era Bridge;913701915,5;SA32
2024-04;2;Arbitrum Bridge;878484115,5;SA33
2024-04;10;Celer cBridge;794756822,9;SA22
2024-04;4;Optimism Gateway;588180085,8;SA33
2024-04;1;Polygon PoS Bridge;543051382;SA22
2024-04;29;Base Bridge;498198805,2;SA33
2024-04;13;Hop;430529266,5;SA33
2024-04;28;Meson;394138732,6;SA11
2024-04;39;rhino.fi;362630888,6;SA11
2024-04;32;Squid (Powered by Axelar);351351913,3;SA21
2024-04;11;Synapse;344535969,7;SA22
2024-04;16;Gnosis Bridge;315072545,5;SA22
2024-04;60;Allbridge Core;217732498,3;SA22
2024-04;27;Symbiosis;184844581,3;SA11
2024-04;46;yBridge by xSync Network;175605351,3;SA22
2024-04;3;Avalanche Bridge;161483233,2;SA12
2024-04;50;Mode Network;131321711,1;SA33
2024-04;44;Interport Finance;106882744,7;SA11
2024-04;30;Mantle Bridge;100287799,6;SA33
2024-04;54;Nitro (by Router Protocol);82659564,24;SA22
2024-04;35;CrossCurve;80375125,21;SA22
2024-04;37;Manta Pacific Bridge;76069408,6;SA33
